id,premise,hypothesis,lang_abv,language,label
5130fd2cb5,comment consid formul interim rule,rule develop interim put togeth comment mind,en,English,0
5b72532a0b,issu wrestl practic group law firm said,practic group permit work issu,en,English,2
3931fbe82a,petit chos comm cellesl font diffrenc norm jessay fair,jessai daccompl quelqu chos,fr,French,0
5622f0c60b,know cant realli defend like somebodi grown uh say age know yeah,cant defend age,en,English,0
86aaa48b45,ในการเล่นบทบาทสมมุติก็เช่นกัน โอกาสที่จะได้แสดงออกและได้เล่นหลายบทบาทไปพร้อมกัน อาจช่วยให้เด็กจับความคล้ายคลึงและความแตกต่างระหว่างผู้คนในด้านความปรารถนา ความเชื่อ และความรู้สึกได้,เด็กสามารถเห็นได้ว่าชาติพันธุ์แตกต่างกันอย่างไร,th,Thai,1
ed7d6a1e62,bir iftlikte birisinin ala kapatlm kzleri kesmeliyiz dediini duyabilirsiniz muhtemelen u anlama gelir yklenecek olanlar ayrn,iftlikte insanlar farkl terimler kullanrlar,tr,Turkish,0
5a0f4908a0,ریاست ہائے متحدہ امریکہ واپس آنے پر، ہج ایف بی آئی کے ایجنٹوں کے ذریعے ہوائی اڈے پر ملاقات کی، تحقیقات کی، اور اگلے دن وفاقی گرین جوری سے پہلے اسامہ بن لادن کی تحقیقات سے ملاقات کی,ہیگ کی تفتیش ایف بی آئی اہلکاروں کی طرف سے کی گئی,ur,Urdu,0
fdcd1bd867,cockpit countri st ann bay,st ann bay cockpit countri,en,English,2
7cfb3d272c,look skin your go troubl dont get busi,boss fire see slack,en,English,1
8c10229663,кажд сто градус пятн краск меня сво цвет красн измен цвет син,краск изменя соответств цвет,ru,Russian,0
a1971593d5,може да не сме имали всичко което сме искали или сме видели че други хора имат но тя осигуряваше необходимите неща от които се нуждаехме,имахме всичко от което наистина се нуждаехме,bg,Bulgarian,0
2bf4b86d4f,fall zwanzig prozent zins,knnte interess mehr,de,German,1
91b03f6bf4,إذا أمكن تعرّف على المؤامرة مسبقًا,حاول أن تفهم الحبكة في البداية، إذا كنت تستطيع,ar,Arabic,0
4c25aa4c06,,,zh,Chinese,2
82f24422eb,,,hi,Hindi,2
6d63ae6397,watoto wangegonga milango ya majirani zao na,watoto wangeweza kwenda kwa majirani zao nyumba,sw,Swahili,0
dd4f0d9f25,peopl knew fatal easi poison one mistak wouldnt joke,mani peopl poison someon mistak,en,English,1
0a3f52c547,littl corner world polici wonk exampl,exampl polici wonk,en,English,0
4b0eca3ccb,life prison hes avail parol life day hes elig parol know let quit bsing system,system corrupt wont abl get parol life day,en,English,1
cad235551c,street cram vendor sell shrine offer sweet curd coconut well garland holi imag,vendor line street torch fire,en,English,2
d8b3a4fb06,north mytilini stop villag moria find remain huge roman aqueduct surround graze goat,noth special see villag moria,en,English,2
ad5a79456e,increas save current generat would expand nation capit stock allow futur generat better afford nation retir cost also enjoy higher standard live,current generat increas save would expand nation capit stock allow futur generat easili afford nation retir cost also enjoy higher standard live,en,English,0
a7b0b9498c,begin,great journey begin,en,English,1
1ec4761d9d,уверя сэр полност осведомл об всем,скрыл множеств детал,ru,Russian,2
17c1f14619,britain bestsel tabloid sun announc frontpag world exclus friday texan model jerri hall start divorc proceed age rock star mick jagger high court london,sun make million everi year fake news,en,English,1
f5f4dc48c1,savonarola burn florenc,florenc becam savonarola new home,en,English,2
6a98a077a5,coloss,gigant,en,English,0
00c0cdf348,lnh hn xa hn bao gi ht pht trin ting ni ca lnh cha,ging ca cha cm thy tht xa xi lnh lo,vi,Vietnamese,0
8b8a91643a,dificult aument med neces modif calder tom adapt scr instalacin tambin aument,dificult depend modif,es,Spanish,0
655cc51991,say men,said men,en,English,2
a2a8b36437,,,el,Greek,2
ca2570d90c,mashua kama hayo yalitengenezwa kuruhusu fursa ya kufiki kwa meli zinazowasili,boti zilianzishwa ili iwe rahisi kupata meli zinazokuja,sw,Swahili,0
89fdd6de05,yeah uhhuh oh yeah pet zoo thing,yes pet thing,en,English,0
fc9b9e81ec,sijawahi kuelewa kwanini uandishi wa kimataifa wa simu ya kitaifa haitumiwi katika kamusi ya kiingereza ya kila aina lakini hii ni zaidi ya upeo wa maneno yetu katika ukaguzi huu,mapitio haya ni madogo kwa upeo kwa hiyo hayajadili kwa nini uandishi wa waandishi wa kimataifa wa simutiki hautumiwi katika kamusi za kiingereza,sw,Swahili,0
aa6feee06e,tanf,,zh,Chinese,2
14fa262750,almost midtown massabiell quarter faubourg de massabiell sometim describ picturesqu citi,massabiell quarter consid photogen,en,English,0
7e89da4ba3,enough known nontransport cost vari distanc,way distanc affect nontransport cost subject dont enough inform,en,English,0
6bb2d551f1,surpris though mani polit,surpris mani polit,en,English,2
8540c11e37,sozialversicher enthlt etabliert programm ausschlielich fr bundesangestellt rent altersvorsorg,sozialversicher beinhalt plan fr arbeitnehm bund,de,German,0
1589ccaac1,draft treati tommi bait,treati bait tommi,en,English,2
8289cdfc7d,therefor number boilermak may actual grow quick assum,number boil maker decreas drastic expect,en,English,2
b277ab420e,regard fill park fourrur blanch bott,fill habill tout roug,fr,French,2
792afbd06a,عمارت کی سب سے زیادہ افسانوی خصوصیت گوہا ہتھیاروں سے متعلق ہے,building mein kafi bara weathervane hai,ur,Urdu,1
43b978ef75,dierleri tketiciyi yeterince mutlu etmiyor,dierleri yeterlidir,tr,Turkish,2
80001fec89,long assad live manag troubl keep agreement israel,long assad doesnt die abl take care troubl,en,English,0
d999bfa2a1,four javi children ask severn,severn know everyth jarvi children,en,English,1
d4dd5ba80d,brain refus command proper,brain command proper,en,English,0
ad4b9214af,girl write littl farewel activ didnt fare well eh chortl,farewel activ didnt go well,en,English,0
126018a551,,,hi,Hindi,1
097b4dfe2a,walk,need pass foot,en,English,0
